_time,_value,_field,location,date
2023-07-26 01:40:43+00:00,438.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 01:50:43+00:00,443.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:00:43+00:00,442.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:10:43+00:00,436.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:20:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:30:43+00:00,427.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:40:43+00:00,431.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:50:43+00:00,433.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:00:43+00:00,424.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:10:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:20:43+00:00,432.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:30:43+00:00,433.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:40:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:50:43+00:00,441.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:00:43+00:00,428.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:10:43+00:00,439.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:20:43+00:00,433.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:30:43+00:00,428.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:40:43+00:00,434.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:50:43+00:00,436.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:00:43+00:00,425.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:10:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:20:43+00:00,425.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:30:43+00:00,425.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:40:43+00:00,440.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:50:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:00:43+00:00,421.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:10:43+00:00,431.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:20:43+00:00,436.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:30:43+00:00,425.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:40:43+00:00,433.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:50:43+00:00,438.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:00:43+00:00,440.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:10:43+00:00,440.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:20:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:30:43+00:00,444.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:40:43+00:00,441.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:50:43+00:00,451.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:00:43+00:00,464.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:10:43+00:00,478.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:20:43+00:00,485.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:30:43+00:00,485.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:40:43+00:00,471.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:50:43+00:00,467.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:00:43+00:00,491.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:10:43+00:00,496.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:20:43+00:00,476.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:30:43+00:00,473.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:40:43+00:00,504.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:50:43+00:00,525.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:00:43+00:00,553.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:10:43+00:00,548.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:20:43+00:00,555.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:30:43+00:00,562.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:40:43+00:00,542.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:50:43+00:00,540.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 11:00:43+00:00,532.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 11:10:43+00:00,534.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 11:20:43+00:00,524.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 11:30:43+00:00,522.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 11:40:43+00:00,514.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 11:50:43+00:00,501.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 12:00:43+00:00,481.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 12:10:43+00:00,477.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 12:20:43+00:00,544.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 12:30:43+00:00,551.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 12:40:43+00:00,536.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 12:50:43+00:00,512.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 13:00:43+00:00,491.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 13:10:43+00:00,481.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 13:20:43+00:00,463.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 13:30:43+00:00,461.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 13:40:43+00:00,465.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 13:50:43+00:00,462.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 14:00:43+00:00,462.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 14:10:43+00:00,464.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 14:20:43+00:00,478.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 14:30:43+00:00,477.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 14:40:43+00:00,466.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 14:50:43+00:00,460.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 15:00:43+00:00,458.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 15:10:43+00:00,452.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 15:20:43+00:00,464.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 15:30:43+00:00,474.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 15:40:43+00:00,480.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 15:50:43+00:00,493.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 16:00:43+00:00,493.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 16:10:43+00:00,493.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 16:20:43+00:00,496.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 16:30:43+00:00,497.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 16:40:43+00:00,498.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 16:50:44+00:00,503.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 17:00:44+00:00,514.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 17:10:44+00:00,522.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 17:20:44+00:00,525.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 17:30:44+00:00,530.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 17:40:44+00:00,530.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 17:50:44+00:00,533.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 18:00:44+00:00,527.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 18:10:44+00:00,519.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 18:20:44+00:00,524.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 18:30:44+00:00,530.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 18:40:44+00:00,533.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 18:50:44+00:00,533.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 19:00:44+00:00,549.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 19:10:44+00:00,547.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 19:20:44+00:00,548.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 19:30:44+00:00,554.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 19:40:44+00:00,541.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 19:50:44+00:00,537.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 20:00:44+00:00,535.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 20:10:44+00:00,522.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 20:20:44+00:00,521.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 20:30:44+00:00,518.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 20:40:44+00:00,512.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 20:50:44+00:00,511.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 21:00:44+00:00,506.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 21:10:44+00:00,506.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 21:20:44+00:00,500.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 21:30:44+00:00,508.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 21:40:44+00:00,499.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 21:50:44+00:00,496.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 22:00:44+00:00,499.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 22:10:44+00:00,489.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 22:20:44+00:00,478.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 22:30:44+00:00,484.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 22:40:44+00:00,485.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 22:50:44+00:00,480.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 23:00:44+00:00,487.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 23:10:44+00:00,475.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 23:20:44+00:00,483.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 23:30:44+00:00,471.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 23:40:44+00:00,471.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 23:50:44+00:00,474.0,co2,am3019-testqc2090,2023-07-26
2023-07-27 00:00:44+00:00,467.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 00:10:44+00:00,469.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 00:20:44+00:00,467.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 00:30:44+00:00,467.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 00:40:44+00:00,476.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 00:50:44+00:00,463.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 01:00:44+00:00,461.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 01:10:44+00:00,459.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 01:20:44+00:00,465.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 01:30:44+00:00,464.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 01:40:44+00:00,469.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 01:50:44+00:00,465.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 02:00:44+00:00,459.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 02:10:44+00:00,466.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 02:20:44+00:00,468.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 02:30:44+00:00,461.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 02:40:44+00:00,461.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 02:50:44+00:00,454.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 03:00:44+00:00,454.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 03:10:44+00:00,463.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 03:20:44+00:00,453.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 03:30:44+00:00,464.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 03:40:44+00:00,460.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 03:50:44+00:00,461.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 04:00:44+00:00,456.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 04:10:44+00:00,456.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 04:20:44+00:00,457.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 04:36:49+00:00,460.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 04:50:44+00:00,458.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 05:00:44+00:00,463.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 05:10:44+00:00,470.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 05:20:44+00:00,473.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 05:30:44+00:00,471.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 05:40:44+00:00,473.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 05:50:44+00:00,467.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 06:00:44+00:00,458.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 06:10:44+00:00,473.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 06:20:44+00:00,473.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 06:30:44+00:00,479.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 06:40:44+00:00,472.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 06:50:44+00:00,479.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 07:00:44+00:00,472.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 07:10:44+00:00,470.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 07:20:44+00:00,471.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 07:30:44+00:00,489.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 07:40:44+00:00,497.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 07:50:44+00:00,488.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 08:00:44+00:00,487.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 08:10:44+00:00,503.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 08:20:44+00:00,489.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 08:30:44+00:00,494.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 08:40:44+00:00,504.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 08:50:44+00:00,501.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 09:00:44+00:00,493.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 09:10:44+00:00,505.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 09:20:44+00:00,534.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 09:30:44+00:00,559.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 09:40:44+00:00,550.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 09:50:44+00:00,540.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 10:00:44+00:00,522.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 10:10:44+00:00,509.0,co2,am3019-testqc2090,2023-07-27
2023-07-27 10:20:44+00:00,509.0,co2,am3019-testqc2090,2023-07-27
